Group,Example,RA,Dec,v,N,mM,errmM,d,errd
Local Grp        , N0224 ,       10.0 ,        41.0 ,        300 ,       2,        24.43,        0.08,       0.77,       0.03
M81              , N3031 ,      147.9 ,        69.3 ,         40 ,       2,        27.78,        0.08,       3.6 ,       0.2  
Cen A            , N5128 ,      200.0 ,        39.0 ,        550 ,       3,        28.03,        0.10,       4.0 ,       0.2  
N1023            , N1023 ,       37.0 ,        35.0 ,        650 ,       4,        29.91,        0.09,       9.6 ,       0.4  
Leo I            , N3379 ,      161.3 ,        12.8 ,        900 ,       5,        30.14,        0.06,      10.7 ,       0.3  
N7331            , N7331 ,      338.7 ,        34.2 ,        800 ,       2,        30.39,        0.10,      12.0 ,       0.6  
UMa              , N3928 ,      180.0 ,        47.0 ,        900 ,       5,        30.76,        0.09,      14.2 ,       0.6  
Coma I           , N4278 ,      184.4 ,        29.6 ,       1000 ,       3,        30.95,        0.08,      15.5 ,       0.6  
Coma II          , N4494 ,      187.2 ,        26.1 ,       1350 ,       3,        31.01,        0.08,      15.9 ,       0.6  
Virgo            , N4486 ,      187.1 ,        12.7 ,       1150 ,      27,        31.03,        0.05,      16.1 ,       0.4  
Dorado           , N1549 ,       63.7 ,        55.7 ,       1300 ,       6,        31.04,        0.06,      16.1 ,       0.5  
Fornax           , N1399 ,       54.1 ,        35.6 ,       1400 ,      26,        31.23,        0.06,      17.6 ,       0.5  
